"customer_id","rfm_recency","rfm_frequency","rfm_monetary"
2807,1,1,1
2135,1,1,1
1846,1,1,1
1544,1,1,1
822,1,1,1
2876,1,1,1
998,1,1,1
2011,1,1,1
1778,1,1,2
618,1,1,1
3091,1,1,1
2525,1,1,1
3292,1,1,1
1943,1,1,1
3279,1,1,1
434,1,1,1
3272,1,1,1
927,1,1,2
2882,1,1,1
867,1,4,5
2224,1,1,1
1712,1,1,1
1851,1,1,1
2911,1,1,1
1632,1,1,1
1658,1,2,1
207,1,1,2
3284,1,3,3
574,1,2,2
302,1,1,1
910,1,1,1
3179,1,1,1
2745,1,1,3
1083,1,1,1
622,1,1,2
2551,1,2,3
2209,1,1,1
332,1,1,1
518,1,1,1
3175,1,1,2
26,1,1,1
1708,1,2,2
2895,1,1,1
1266,1,1,4
3496,1,2,2
1257,1,1,2
2666,1,2,1
713,1,2,2
1626,1,1,1
7,1,1,1
1819,1,1,1
3073,1,1,1
575,1,1,1
278,1,1,1
415,1,1,1
3384,1,3,2
778,1,2,1
1011,1,1,1
2739,1,1,1
3410,1,1,2
1334,1,1,1
1293,1,3,5
2030,1,2,5
1448,1,1,1
2704,1,1,1
1211,1,2,1
1067,1,1,1
2482,1,1,1
1338,1,1,1
1757,1,1,1
2486,1,1,1
3046,1,2,3
2835,1,1,1
2077,1,1,2
1017,1,1,3
2327,1,1,3
2411,1,1,4
373,1,1,1
2429,1,1,3
2416,1,1,1
3235,1,1,1
3349,1,3,3
2718,1,4,4
591,1,1,1
2003,1,1,1
2792,1,1,2
1175,1,1,1
2431,1,1,1
1661,1,4,5
1365,1,1,1
3218,1,2,1
1620,1,1,1
1387,1,1,1
2065,1,2,2
2323,1,1,2
1269,1,1,1
1842,1,3,3
78,1,1,1
2091,1,1,3
754,1,1,1
3076,1,2,2
2612,1,1,1
2225,1,1,4
2521,1,1,2
1109,1,1,1
190,1,1,1
600,1,1,2
1055,1,1,1
1270,1,2,2
131,1,4,5
443,1,3,3
898,1,1,1
1069,1,3,2
2813,1,3,3
3442,1,2,1
1004,1,4,4
3040,1,1,1
271,1,1,1
1560,1,1,1
1092,1,2,1
641,1,2,3
60,1,1,1
1243,1,5,5
578,1,4,3
592,1,2,1
2039,1,2,2
3106,1,2,4
164,1,1,1
2437,1,1,1
3090,1,3,3
1380,1,1,3
1458,1,1,3
643,1,2,2
812,1,1,1
2496,1,3,1
2902,1,1,1
3381,1,3,5
4,1,1,1
3115,1,2,4
2123,1,3,2
244,1,1,3
2145,1,1,1
146,1,1,1
2896,1,1,1
3053,1,2,2
978,1,2,3
123,1,2,3
3333,1,3,2
1747,1,2,1
3491,1,2,1
